Titre;Réalisateur;Année;Genre;Note;Studio
Everything Everywhere All at Once;Daniel Kwan;2022;Science-fiction;8,1;A24
The Batman;Matt Reeves;2022;Super-héros;7,9;Warner Bros.
Spider-Man: No Way Home;Jon Watts;2021;Super-héros;8,2;Sony Pictures
Inception;Christopher Nolan;2010;Science-fiction;8,8;Warner Bros.
The Shawshank Redemption;Frank Darabont;1994;Drame;9,3;Columbia Pictures
Pulp Fiction;Quentin Tarantino;1994;Crime ;8,9;Miramax
The Dark Knight;Christopher Nolan;2008;Action;9;Warner Bros.
Forrest Gump;Robert Zemeckis;1994;Drame;8,8;Paramount Pictures
The Matrix;Wachowski Sisters;1999;Science-fiction;8,7;Warner Bros.
Goodfellas;Martin Scorses;1990;Crime ;8,7;Warner Bros.
The Silence of the Lambs;Jonathan Demme;1991;Thriller;8,6;Orion Pictures
Fight Club;David Fincher;1999;Drame;8,8;20th Century Fox
The Lord of the Rings: The Fellowship of the Ring;Peter Jackson;2001;Fantasy;8,8;New Line Cinema
Schindler's List;Steven Spielberg;1993;Biographie;8,9;Universal Pictures
The Godfather;Francis Coppola;1972;Crime ;9,2;Paramount Pictures
Interstellar;Christopher Nolan;2014;Science-fiction;8,6;Paramount Pictures
The Green Mile;Frank Darabont;1999;Drame;8,6;Warner Bros.
Saving Private Ryan;Steven Spielberg;1998;Guerre;8,6;DreamWorks Pictures
Disaster movie;Jason Friedberg;2008;Comédie;2,6;Lionsgate
Les P'tits génies 2;Charles Martin Smith;1994;Comédie;2,7;Universal Pictures
The Hands of Fate;Harold P.Warren;1966;Horreur;2,3;Warren Film
Saving Christmas;Darren Doane;2014;Comédie;2,1;Liberty University
The Hottie & the Nottie;Tom Putnam;2008;Comédie;2,1;Regent Releasing
From Justin to Kelly;Robert Iscove;2003;Comédie;2,2;20th Century Fox
Foodfight;Lawrence Kasanoff;2012;Animation;2,1;Vudu
Birdemic:  shock and terror;James Nguyen;2010;Horreur;2,8;Moviehead Pictures
